nomComplet,lienWikidata,distinction,date,annee
Daniel Bélanger,http://www.wikidata.org/entity/Q6314077,prix Juno de l'album francophone de l'année,2018-03-25,2018
Max von Sydow,http://www.wikidata.org/entity/Q10855271,chevalier de la Légion d'honneur,2012-10-17,2012
Max von Sydow,http://www.wikidata.org/entity/Q10684929,Svenska Akademiens teaterpris,1968-01-01,1968
Max von Sydow,http://www.wikidata.org/entity/Q932281,Prix du cinéma européen du meilleur acteur,1988-01-01,1988
Max von Sydow,http://www.wikidata.org/entity/Q908858,prix Donostia,2006-01-01,2006
Max von Sydow,http://www.wikidata.org/entity/Q3368405,médaille Litteris et Artibus,1978-01-01,1978
Fred Pellerin,http://www.wikidata.org/entity/Q51527076,docteur honoris causa de l'Université Laval,2014-01-01,2014
Fred Pellerin,http://www.wikidata.org/entity/Q61478580,Compagne/Compagnon de l'Ordre des arts et des lettres du Québec,2015-01-01,2015
Fred Pellerin,http://www.wikidata.org/entity/Q15463524,chevalier de l'Ordre national du Québec,2012-01-01,2012
Claude Jutra,http://www.wikidata.org/entity/Q3404315,prix Albert-Tessier,1984-01-01,1984
Adam Driver,http://www.wikidata.org/entity/Q1258647,Saturn Award du meilleur acteur dans un second rôle,2016-01-01,2016
Michel Brault,http://www.wikidata.org/entity/Q15464524,officier de l'Ordre national du Québec,2003-01-01,2003
Michel Brault,http://www.wikidata.org/entity/Q992455,prix Molson,1979-01-01,1979
Michel Brault,http://www.wikidata.org/entity/Q3404315,prix Albert-Tessier,1986-01-01,1986
Michel Brault,http://www.wikidata.org/entity/Q510175,prix de la mise en scène,1975-01-01,1975
Kim Nguyen,http://www.wikidata.org/entity/Q3459735,prix Écrans canadiens,2013-01-01,2013
Marcel Ophuls,http://www.wikidata.org/entity/Q2073497,Prix Peter-Weiss,1992-01-01,1992
Marcel Ophuls,http://www.wikidata.org/entity/Q472379,prix Adolf-Grimme,1972-01-01,1972
Denis Villeneuve,http://www.wikidata.org/entity/Q3405815,prix du Gouverneur général pour les arts du spectacle,2011-01-01,2011
Denis Villeneuve,http://www.wikidata.org/entity/Q61478580,Compagne/Compagnon de l'Ordre des arts et des lettres du Québec,2016-01-01,2016
Denis Villeneuve,http://www.wikidata.org/entity/Q15278116,officier de l'Ordre du Canada,2017-12-29,2017
Jean Bissonnette,http://www.wikidata.org/entity/Q3404685,prix Guy-Mauffette,2015-01-01,2015
Jean Bissonnette,http://www.wikidata.org/entity/Q15464524,officier de l'Ordre national du Québec,2015-01-01,2015
Denis Thériault,http://www.wikidata.org/entity/Q3377627,Prix Anne-Hébert,2002-01-01,2002
